Year	iYear	iGDP	iKstkPWT	iKstkO+WnoRD	iKstkO+WwithRD	iKstkS+L	iKservONS2011	iKservONS2015	iKservO+WnoRD	iKservO+WwithRD	iKservS+L	iL	ihLPWT	ihLest	iEpMP	iEfMP	iEuMP	iXpMP	iXfMP	iUMP	iEpIEA	iEfIEA	iXp	iXf	iU	Country	Source
1975	15	1.46	1.70	1.91	1.91	NA	1.75	3.09	1.99	1.99	NA	0.89	1.02	1.02	NA	NA	NA	NA	NA	NA	1.25	1.22	1.30	NA	1.65	UK	REXS
1976	16	1.50	1.74	1.97	1.97	NA	1.78	3.15	2.07	2.07	NA	0.88	1.01	1.01	NA	NA	NA	NA	NA	NA	1.28	1.24	1.31	NA	1.76	UK	REXS
1977	17	1.54	1.78	2.02	2.02	NA	1.83	3.23	2.14	2.14	NA	0.88	1.01	1.01	NA	NA	NA	NA	NA	NA	1.31	1.26	1.33	NA	1.83	UK	REXS
1978	18	1.59	1.82	2.08	2.08	NA	1.88	3.36	2.21	2.21	NA	0.88	1.01	1.01	NA	NA	NA	NA	NA	NA	1.30	1.26	1.34	NA	1.86	UK	REXS
1979	19	1.63	1.86	2.14	2.14	NA	1.93	3.52	2.29	2.29	NA	0.88	1.01	1.01	NA	NA	NA	NA	NA	NA	1.37	1.32	1.39	NA	1.99	UK	REXS
1980	20	1.60	1.90	2.18	2.18	NA	1.97	3.75	2.38	2.38	NA	0.86	1.00	1.00	NA	NA	NA	NA	NA	NA	1.25	1.20	1.26	NA	1.78	UK	REXS
1981	21	1.58	1.92	2.22	2.22	NA	1.99	3.95	2.45	2.45	NA	0.82	0.95	0.95	NA	NA	NA	NA	NA	NA	1.21	1.18	1.19	NA	1.67	UK	REXS
1982	22	1.61	1.95	2.26	2.27	NA	2.02	4.05	2.48	2.48	NA	0.80	0.94	0.93	NA	NA	NA	NA	NA	NA	1.20	1.17	1.19	NA	1.63	UK	REXS
1983	23	1.67	1.98	2.30	2.32	NA	2.06	4.15	2.54	2.55	NA	0.79	0.93	0.93	NA	NA	NA	NA	NA	NA	1.20	1.17	1.15	NA	1.66	UK	REXS
1984	24	1.71	2.02	2.35	2.37	NA	2.11	4.30	2.59	2.63	NA	0.80	0.95	0.94	NA	NA	NA	NA	NA	NA	1.20	1.17	1.30	NA	1.89	UK	REXS
1985	25	1.77	2.06	2.41	2.44	NA	2.16	4.52	2.65	2.70	NA	0.82	0.97	0.96	NA	NA	NA	NA	NA	NA	1.26	1.22	1.24	NA	1.82	UK	REXS
1986	26	1.84	2.10	2.47	2.51	NA	2.20	4.76	2.75	2.82	NA	0.82	0.97	0.96	NA	NA	NA	NA	NA	NA	1.28	1.25	1.25	NA	1.84	UK	REXS
1987	27	1.93	2.15	2.55	2.60	NA	2.28	5.02	2.86	2.95	NA	0.83	0.99	0.99	NA	NA	NA	NA	NA	NA	1.29	1.27	1.25	NA	1.93	UK	REXS
1988	28	2.03	2.22	2.64	2.69	NA	2.37	5.36	2.98	3.09	NA	0.86	1.03	1.03	NA	NA	NA	NA	NA	NA	1.31	1.29	1.30	NA	1.99	UK	REXS
1989	29	2.07	2.29	2.76	2.81	NA	2.48	5.84	3.14	3.26	NA	0.88	1.06	1.06	NA	NA	NA	NA	NA	NA	1.30	1.27	1.30	NA	1.96	UK	REXS
1990	30	2.09	2.35	2.87	2.93	NA	2.58	6.30	3.33	3.46	NA	0.88	1.06	1.07	NA	NA	NA	NA	NA	NA	1.30	1.26	1.31	NA	2.02	UK	REXS
1991	31	2.06	2.40	2.97	3.04	NA	2.67	6.60	3.49	3.63	NA	0.85	1.02	1.03	NA	NA	NA	NA	NA	NA	1.34	1.31	1.33	NA	1.99	UK	REXS
1992	32	2.06	2.45	3.05	3.12	NA	2.72	6.79	3.64	3.79	NA	0.82	0.99	1.00	NA	NA	NA	NA	NA	NA	1.34	1.29	1.35	NA	2.10	UK	REXS
1993	33	2.11	2.50	3.13	3.20	NA	2.80	6.98	3.76	3.91	NA	0.81	0.98	0.99	NA	NA	NA	NA	NA	NA	1.35	1.31	1.38	NA	2.12	UK	REXS
1994	34	2.20	2.55	3.22	3.29	NA	2.89	7.16	3.88	4.04	NA	0.82	1.00	1.01	NA	NA	NA	NA	NA	NA	1.36	1.32	1.34	NA	2.24	UK	REXS
1995	35	2.27	2.61	3.31	3.38	NA	3.02	7.36	4.01	4.18	NA	0.83	1.02	1.03	NA	NA	NA	NA	NA	NA	1.36	1.31	1.34	NA	2.20	UK	REXS
1996	36	2.33	2.67	3.42	3.49	NA	3.14	7.59	4.18	4.34	NA	0.84	1.03	1.05	NA	NA	NA	NA	NA	NA	1.42	1.38	1.41	NA	2.33	UK	REXS
1997	37	2.41	2.75	3.53	3.61	NA	3.29	7.83	4.36	4.53	NA	0.86	1.06	1.07	NA	NA	NA	NA	NA	NA	1.38	1.35	1.39	NA	2.25	UK	REXS
1998	38	2.49	2.84	3.69	3.76	NA	3.54	8.10	4.57	4.74	NA	0.86	1.07	1.09	NA	NA	NA	NA	NA	NA	1.39	1.35	1.37	NA	2.24	UK	REXS
1999	39	2.57	2.93	3.84	3.92	NA	3.76	8.38	4.85	5.02	NA	0.87	1.08	1.10	NA	NA	NA	NA	NA	NA	1.40	1.38	1.41	NA	2.25	UK	REXS
2000	40	2.68	3.02	3.99	4.07	NA	4.00	8.65	5.11	5.29	NA	0.87	1.09	1.11	NA	NA	NA	NA	NA	NA	1.40	1.38	1.40	NA	2.28	UK	REXS
2001	41	2.76	3.11	4.15	4.23	NA	4.24	8.88	5.39	5.57	NA	0.88	1.10	1.14	NA	NA	NA	NA	NA	NA	1.41	1.38	NA	NA	NA	UK	REXS
2002	42	2.82	3.20	4.32	4.40	NA	4.48	9.11	5.67	5.85	NA	0.88	1.11	1.16	NA	NA	NA	NA	NA	NA	1.37	1.35	NA	NA	NA	UK	REXS
2003	43	2.93	3.28	4.47	4.56	NA	4.74	9.35	5.95	6.14	NA	0.88	1.11	1.17	NA	NA	NA	NA	NA	NA	1.40	1.37	NA	NA	NA	UK	REXS
2004	44	3.02	3.38	4.64	4.72	NA	4.87	9.58	6.26	6.44	NA	0.88	1.12	1.20	NA	NA	NA	NA	NA	NA	1.40	1.37	NA	NA	NA	UK	REXS
2005	45	3.10	3.47	4.81	4.90	NA	5.00	9.78	6.53	6.72	NA	0.89	1.14	1.24	NA	NA	NA	NA	NA	NA	1.40	1.37	NA	NA	NA	UK	REXS
2006	46	3.18	3.57	4.98	5.07	NA	5.08	9.99	6.76	6.95	NA	0.90	1.15	1.26	NA	NA	NA	NA	NA	NA	1.38	1.34	NA	NA	NA	UK	REXS
2007	47	3.30	3.69	5.20	5.29	NA	5.21	10.26	6.95	7.13	NA	0.90	1.17	1.29	NA	NA	NA	NA	NA	NA	1.32	1.30	NA	NA	NA	UK	REXS
2008	48	3.27	3.79	5.41	5.50	NA	5.33	10.54	7.23	7.42	NA	0.90	1.17	1.30	NA	NA	NA	NA	NA	NA	1.31	1.30	NA	NA	NA	UK	REXS
2009	49	3.14	3.85	5.55	5.64	NA	5.36	10.70	7.50	7.69	NA	0.88	1.15	1.30	NA	NA	NA	NA	NA	NA	1.24	1.21	NA	NA	NA	UK	REXS
2010	50	3.19	3.91	5.69	5.79	NA	NA	10.77	7.62	7.82	NA	0.89	1.16	1.33	NA	NA	NA	NA	NA	NA	1.29	NA	NA	NA	NA	UK	REXS
2011	51	3.22	3.96	5.82	5.92	NA	NA	10.89	7.80	8.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UK	REXS
2012	52	NA	NA	5.96	6.05	NA	NA	11.06	7.93	8.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UK	REXS
2013	53	NA	NA	6.09	NA	NA	NA	11.25	8.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UK	REXS
1960	0	1.00	1.00	NA	NA	1.00	NA	NA	NA	NA	1.00	1.00	1.00	1.00	NA	NA	NA	NA	NA	NA	1.00	1.00	NA	NA	NA	PT	REXS
1961	1	1.07	1.07	NA	NA	1.06	NA	NA	NA	NA	1.06	0.99	1.00	1.00	NA	NA	NA	NA	NA	NA	1.09	1.09	NA	NA	NA	PT	REXS
1962	2	1.13	1.13	NA	NA	1.13	NA	NA	NA	NA	1.12	0.98	1.00	0.99	NA	NA	NA	NA	NA	NA	1.09	1.11	NA	NA	NA	PT	REXS
1963	3	1.20	1.19	NA	NA	1.17	NA	NA	NA	NA	1.17	0.97	0.99	0.99	NA	NA	NA	NA	NA	NA	1.20	1.20	NA	NA	NA	PT	REXS
1964	4	1.26	1.27	NA	NA	1.22	NA	NA	NA	NA	1.22	0.96	0.99	0.98	NA	NA	NA	NA	NA	NA	1.24	1.25	NA	NA	NA	PT	REXS
1965	5	1.35	1.36	NA	NA	1.28	NA	NA	NA	NA	1.28	0.95	0.99	0.98	NA	NA	NA	NA	NA	NA	1.33	1.30	NA	NA	NA	PT	REXS
1966	6	1.39	1.45	NA	NA	1.35	NA	NA	NA	NA	1.36	0.94	0.98	0.98	NA	NA	NA	NA	NA	NA	1.35	1.37	NA	NA	NA	PT	REXS
1967	7	1.49	1.54	NA	NA	1.43	NA	NA	NA	NA	1.43	0.93	0.98	0.98	NA	NA	NA	NA	NA	NA	1.45	1.44	NA	NA	NA	PT	REXS
1968	8	1.68	1.63	NA	NA	1.50	NA	NA	NA	NA	1.50	0.92	0.98	0.98	NA	NA	NA	NA	NA	NA	1.47	1.45	NA	NA	NA	PT	REXS
1969	9	1.73	1.71	NA	NA	1.58	NA	NA	NA	NA	1.59	0.91	0.97	0.98	NA	NA	NA	NA	NA	NA	1.70	1.56	NA	NA	NA	PT	REXS
1970	10	1.85	1.85	NA	NA	1.66	NA	NA	NA	NA	1.68	0.95	1.03	1.04	NA	NA	NA	NA	NA	NA	1.93	1.78	NA	NA	NA	PT	REXS
1971	11	1.98	2.01	NA	NA	1.76	NA	NA	NA	NA	1.79	0.96	1.06	1.07	NA	NA	NA	NA	NA	NA	2.10	1.90	NA	NA	NA	PT	REXS
1972	12	2.14	2.19	NA	NA	1.90	NA	NA	NA	NA	1.92	0.96	1.09	1.10	NA	NA	NA	NA	NA	NA	2.16	2.01	NA	NA	NA	PT	REXS
1973	13	2.38	2.38	NA	NA	2.05	NA	NA	NA	NA	2.07	0.96	1.11	1.13	NA	NA	NA	NA	NA	NA	2.31	2.16	NA	NA	NA	PT	REXS
1974	14	2.40	2.55	NA	NA	2.21	NA	NA	NA	NA	2.23	1.07	1.25	1.28	NA	NA	NA	NA	NA	NA	2.42	2.23	NA	NA	NA	PT	REXS
1975	15	2.30	2.66	NA	NA	2.30	NA	NA	NA	NA	2.33	1.03	1.23	1.26	NA	NA	NA	NA	NA	NA	2.58	2.31	NA	NA	NA	PT	REXS
1976	16	2.46	2.77	NA	NA	2.38	NA	NA	NA	NA	2.41	1.02	1.23	1.27	NA	NA	NA	NA	NA	NA	2.74	2.40	NA	NA	NA	PT	REXS
1977	17	2.59	2.91	NA	NA	2.50	NA	NA	NA	NA	2.51	1.02	1.26	1.30	NA	NA	NA	NA	NA	NA	2.68	2.58	NA	NA	NA	PT	REXS
1978	18	2.67	3.06	NA	NA	2.63	NA	NA	NA	NA	2.63	1.02	1.28	1.32	NA	NA	NA	NA	NA	NA	2.94	2.73	NA	NA	NA	PT	REXS
1979	19	2.82	3.22	NA	NA	2.74	NA	NA	NA	NA	2.77	1.04	1.33	1.38	NA	NA	NA	NA	NA	NA	3.23	2.89	NA	NA	NA	PT	REXS
1980	20	2.95	3.39	NA	NA	2.85	NA	NA	NA	NA	2.92	1.07	1.38	1.43	NA	NA	NA	NA	NA	NA	3.35	2.99	NA	NA	NA	PT	REXS
1981	21	2.99	3.57	NA	NA	2.98	NA	NA	NA	NA	3.09	1.05	1.39	1.44	NA	NA	NA	NA	NA	NA	3.32	2.99	NA	NA	NA	PT	REXS
1982	22	3.06	3.75	NA	NA	3.10	NA	NA	NA	NA	3.26	1.05	1.40	1.46	NA	NA	NA	NA	NA	NA	3.72	3.26	NA	NA	NA	PT	REXS
1983	23	3.05	3.89	NA	NA	3.21	NA	NA	NA	NA	3.41	1.09	1.48	1.54	NA	NA	NA	NA	NA	NA	3.73	3.16	NA	NA	NA	PT	REXS
1984	24	3.00	3.97	NA	NA	3.29	NA	NA	NA	NA	3.50	1.07	1.47	1.53	NA	NA	NA	NA	NA	NA	3.74	3.30	NA	NA	NA	PT	REXS
1985	25	3.08	4.03	NA	NA	3.36	NA	NA	NA	NA	3.58	1.06	1.47	1.54	NA	NA	NA	NA	NA	NA	3.67	3.35	NA	NA	NA	PT	REXS
1986	26	3.21	4.12	NA	NA	3.45	NA	NA	NA	NA	3.68	1.05	1.48	1.54	NA	NA	NA	NA	NA	NA	4.06	3.56	NA	NA	NA	PT	REXS
1987	27	3.41	4.27	NA	NA	3.56	NA	NA	NA	NA	3.84	1.08	1.54	1.61	NA	NA	NA	NA	NA	NA	4.17	3.74	NA	NA	NA	PT	REXS
1988	28	3.67	4.46	NA	NA	3.68	NA	NA	NA	NA	4.03	1.11	1.59	1.67	NA	NA	NA	NA	NA	NA	4.36	4.12	NA	NA	NA	PT	REXS
1989	29	3.90	4.67	NA	NA	3.81	NA	NA	NA	NA	4.23	1.15	1.67	1.75	NA	NA	NA	NA	NA	NA	5.28	4.61	NA	NA	NA	PT	REXS
1990	30	4.06	4.92	NA	NA	3.96	NA	NA	NA	NA	4.48	1.21	1.79	1.87	NA	NA	NA	NA	NA	NA	5.61	5.04	NA	NA	NA	PT	REXS
1991	31	4.24	5.16	NA	NA	4.10	NA	NA	NA	NA	4.75	1.28	1.90	2.01	NA	NA	NA	NA	NA	NA	5.68	5.09	NA	NA	NA	PT	REXS
1992	32	4.28	5.39	NA	NA	4.26	NA	NA	NA	NA	5.04	1.24	1.84	1.97	NA	NA	NA	NA	NA	NA	6.04	5.28	NA	NA	NA	PT	REXS
1993	33	4.19	5.59	NA	NA	4.40	NA	NA	NA	NA	5.31	1.22	1.81	1.95	NA	NA	NA	NA	NA	NA	5.95	5.28	NA	NA	NA	PT	REXS
1994	34	4.23	5.82	NA	NA	4.55	NA	NA	NA	NA	5.59	1.19	1.79	1.95	NA	NA	NA	NA	NA	NA	6.11	5.55	NA	NA	NA	PT	REXS
1995	35	4.42	6.06	NA	NA	4.71	NA	NA	NA	NA	5.88	1.23	1.85	2.03	NA	NA	NA	NA	NA	NA	6.77	5.75	NA	NA	NA	PT	REXS
1996	36	4.58	6.33	NA	NA	4.88	NA	NA	NA	NA	6.20	1.22	1.85	2.05	NA	NA	NA	NA	NA	NA	6.72	5.98	NA	NA	NA	PT	REXS
1997	37	4.79	6.67	NA	NA	5.08	NA	NA	NA	NA	6.60	1.23	1.87	2.09	NA	NA	NA	NA	NA	NA	7.08	6.30	NA	NA	NA	PT	REXS
1998	38	5.03	7.09	NA	NA	5.31	NA	NA	NA	NA	7.06	1.25	1.92	2.16	NA	NA	NA	NA	NA	NA	7.65	6.76	NA	NA	NA	PT	REXS
1999	39	5.24	7.54	NA	NA	5.56	NA	NA	NA	NA	7.53	1.27	1.97	2.23	NA	NA	NA	NA	NA	NA	8.22	6.98	NA	NA	NA	PT	REXS
2000	40	5.44	8.01	NA	NA	5.81	NA	NA	NA	NA	8.01	1.41	2.20	2.51	NA	NA	NA	NA	NA	NA	8.27	7.34	NA	NA	NA	PT	REXS
2001	41	5.55	8.47	NA	NA	6.05	NA	NA	NA	NA	8.48	1.42	2.22	2.51	NA	NA	NA	NA	NA	NA	8.32	7.37	NA	NA	NA	PT	REXS
2002	42	5.59	8.89	NA	NA	6.27	NA	NA	NA	NA	8.92	1.42	2.24	2.49	NA	NA	NA	NA	NA	NA	8.65	7.53	NA	NA	NA	PT	REXS
2003	43	5.54	9.25	NA	NA	6.45	NA	NA	NA	NA	9.31	1.41	2.23	2.44	NA	NA	NA	NA	NA	NA	8.42	7.55	NA	NA	NA	PT	REXS
2004	44	5.63	9.61	NA	NA	6.63	NA	NA	NA	NA	9.68	1.41	2.24	2.43	NA	NA	NA	NA	NA	NA	8.66	7.71	NA	NA	NA	PT	REXS
2005	45	5.67	9.95	NA	NA	6.80	NA	NA	NA	NA	10.03	1.40	2.24	2.40	NA	NA	NA	NA	NA	NA	8.87	7.73	NA	NA	NA	PT	REXS
2006	46	5.75	10.29	NA	NA	6.96	NA	NA	NA	NA	10.37	1.40	2.26	2.42	NA	NA	NA	NA	NA	NA	8.28	7.44	NA	NA	NA	PT	REXS
2007	47	5.89	10.64	NA	NA	7.12	NA	NA	NA	NA	10.74	1.41	2.30	2.46	NA	NA	NA	NA	NA	NA	8.48	7.70	NA	NA	NA	PT	REXS
2008	48	5.89	10.97	NA	NA	7.27	NA	NA	NA	NA	11.12	1.41	2.31	2.48	NA	NA	NA	NA	NA	NA	8.19	7.37	NA	NA	NA	PT	REXS
2009	49	5.72	11.23	NA	NA	7.38	NA	NA	NA	NA	11.41	1.37	2.26	2.43	NA	NA	NA	NA	NA	NA	8.08	7.13	NA	NA	NA	PT	REXS
2010	50	5.80	11.46	NA	NA	7.48	NA	NA	NA	NA	11.69	1.36	2.26	2.44	NA	NA	NA	NA	NA	NA	7.88	NA	NA	NA	NA	PT	REXS
2011	51	5.70	11.60	NA	NA	7.54	NA	NA	NA	NA	11.88	1.33	2.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PT	REXS
2012	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PT	REXS
2013	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PT	REXS
1960	0	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	NA	1.00	1.00	NA	NA	NA	NA	NA	NA	NA	1.00	1.00	1.00	NA	1.00	AT	REXS
1961	1	1.05	1.08	NA	NA	NA	NA	NA	NA	NA	NA	1.00	1.02	NA	NA	NA	NA	NA	NA	NA	1.01	0.99	1.01	NA	1.06	AT	REXS
1962	2	1.07	1.14	NA	NA	NA	NA	NA	NA	NA	NA	0.99	1.04	NA	NA	NA	NA	NA	NA	NA	1.10	1.09	1.06	NA	1.13	AT	REXS
1963	3	1.12	1.20	NA	NA	NA	NA	NA	NA	NA	NA	0.98	1.05	NA	NA	NA	NA	NA	NA	NA	1.20	1.21	1.10	NA	1.21	AT	REXS
1964	4	1.19	1.27	NA	NA	NA	NA	NA	NA	NA	NA	0.97	1.07	NA	NA	NA	NA	NA	NA	NA	1.23	1.24	1.12	NA	1.30	AT	REXS
1965	5	1.22	1.35	NA	NA	NA	NA	NA	NA	NA	NA	0.96	1.08	NA	NA	NA	NA	NA	NA	NA	1.24	1.27	1.13	NA	1.33	AT	REXS
1966	6	1.29	1.44	NA	NA	NA	NA	NA	NA	NA	NA	0.94	1.08	NA	NA	NA	NA	NA	NA	NA	1.28	1.31	1.16	NA	1.40	AT	REXS
1967	7	1.33	1.52	NA	NA	NA	NA	NA	NA	NA	NA	0.92	1.08	NA	NA	NA	NA	NA	NA	NA	1.30	1.35	1.20	NA	1.41	AT	REXS
1968	8	1.39	1.61	NA	NA	NA	NA	NA	NA	NA	NA	0.91	1.08	NA	NA	NA	NA	NA	NA	NA	1.39	1.45	1.25	NA	1.52	AT	REXS
1969	9	1.48	1.70	NA	NA	NA	NA	NA	NA	NA	NA	0.87	1.07	NA	NA	NA	NA	NA	NA	NA	1.49	1.54	1.34	NA	1.61	AT	REXS
1970	10	1.58	1.81	NA	NA	NA	NA	NA	NA	NA	NA	0.87	1.08	NA	NA	NA	NA	NA	NA	NA	1.66	1.64	1.45	NA	1.74	AT	REXS
1971	11	1.66	1.94	NA	NA	NA	NA	NA	NA	NA	NA	0.86	1.08	NA	NA	NA	NA	NA	NA	NA	1.73	1.68	1.47	NA	1.80	AT	REXS
1972	12	1.77	2.09	NA	NA	NA	NA	NA	NA	NA	NA	0.86	1.09	NA	NA	NA	NA	NA	NA	NA	1.82	1.76	1.50	NA	1.87	AT	REXS
1973	13	1.85	2.24	NA	NA	NA	NA	NA	NA	NA	NA	0.85	1.10	NA	NA	NA	NA	NA	NA	NA	1.97	1.91	1.59	NA	1.99	AT	REXS
1974	14	1.92	2.38	NA	NA	NA	NA	NA	NA	NA	NA	0.85	1.10	NA	NA	NA	NA	NA	NA	NA	1.90	1.86	1.61	NA	2.04	AT	REXS
1975	15	1.92	2.51	NA	NA	NA	NA	NA	NA	NA	NA	0.82	1.08	NA	NA	NA	NA	NA	NA	NA	1.85	1.84	1.57	NA	2.03	AT	REXS
1976	16	2.01	2.65	NA	NA	NA	NA	NA	NA	NA	NA	0.81	1.08	NA	NA	NA	NA	NA	NA	NA	1.99	1.91	1.63	NA	2.18	AT	REXS
1977	17	2.11	2.80	NA	NA	NA	NA	NA	NA	NA	NA	0.82	1.09	NA	NA	NA	NA	NA	NA	NA	1.94	1.93	1.60	NA	2.19	AT	REXS
1978	18	2.10	2.93	NA	NA	NA	NA	NA	NA	NA	NA	0.81	1.10	NA	NA	NA	NA	NA	NA	NA	2.01	2.04	1.65	NA	2.25	AT	REXS
1979	19	2.22	3.06	NA	NA	NA	NA	NA	NA	NA	NA	0.81	1.11	NA	NA	NA	NA	NA	NA	NA	2.17	2.17	1.73	NA	2.39	AT	REXS
1980	20	2.25	3.20	NA	NA	NA	NA	NA	NA	NA	NA	0.81	1.12	NA	NA	NA	NA	NA	NA	NA	2.12	2.14	1.71	NA	2.32	AT	REXS
1981	21	2.25	3.33	NA	NA	NA	NA	NA	NA	NA	NA	0.81	1.13	NA	NA	NA	NA	NA	NA	NA	2.01	2.05	1.66	NA	2.28	AT	REXS
1982	22	2.30	3.43	NA	NA	NA	NA	NA	NA	NA	NA	0.83	1.16	NA	NA	NA	NA	NA	NA	NA	1.97	2.03	1.65	NA	2.21	AT	REXS
1983	23	2.36	3.53	NA	NA	NA	NA	NA	NA	NA	NA	0.82	1.16	NA	NA	NA	NA	NA	NA	NA	1.97	2.04	1.66	NA	2.24	AT	REXS
1984	24	2.37	3.62	NA	NA	NA	NA	NA	NA	NA	NA	0.84	1.19	NA	NA	NA	NA	NA	NA	NA	2.05	2.11	1.72	NA	2.31	AT	REXS
1985	25	2.42	3.72	NA	NA	NA	NA	NA	NA	NA	NA	0.84	1.19	NA	NA	NA	NA	NA	NA	NA	2.12	2.18	1.77	NA	2.38	AT	REXS
1986	26	2.48	3.83	NA	NA	NA	NA	NA	NA	NA	NA	0.84	1.22	NA	NA	NA	NA	NA	NA	NA	2.13	2.19	1.75	NA	2.35	AT	REXS
1987	27	2.51	3.93	NA	NA	NA	NA	NA	NA	NA	NA	0.85	1.23	NA	NA	NA	NA	NA	NA	NA	2.21	2.24	1.81	NA	2.52	AT	REXS
1988	28	2.60	4.06	NA	NA	NA	NA	NA	NA	NA	NA	0.85	1.24	NA	NA	NA	NA	NA	NA	NA	2.23	2.33	1.89	NA	2.49	AT	REXS
1989	29	2.70	4.19	NA	NA	NA	NA	NA	NA	NA	NA	0.85	1.25	NA	NA	NA	NA	NA	NA	NA	2.19	2.30	1.91	NA	2.61	AT	REXS
1990	30	2.81	4.33	NA	NA	NA	NA	NA	NA	NA	NA	0.86	1.27	NA	NA	NA	NA	NA	NA	NA	2.27	2.27	1.88	NA	2.70	AT	REXS
1991	31	2.91	4.49	NA	NA	NA	NA	NA	NA	NA	NA	0.87	1.30	NA	NA	NA	NA	NA	NA	NA	2.42	2.44	1.95	NA	2.80	AT	REXS
1992	32	2.97	4.64	NA	NA	NA	NA	NA	NA	NA	NA	0.87	1.31	NA	NA	NA	NA	NA	NA	NA	2.33	2.38	1.92	NA	2.66	AT	REXS
1993	33	2.99	4.78	NA	NA	NA	NA	NA	NA	NA	NA	0.85	1.29	NA	NA	NA	NA	NA	NA	NA	2.35	2.41	1.96	NA	2.73	AT	REXS
1994	34	3.06	4.93	NA	NA	NA	NA	NA	NA	NA	NA	0.84	1.28	NA	NA	NA	NA	NA	NA	NA	2.34	2.35	1.97	NA	2.81	AT	REXS
1995	35	3.14	5.07	NA	NA	NA	NA	NA	NA	NA	NA	0.81	1.24	NA	NA	NA	NA	NA	NA	NA	2.45	2.44	2.06	NA	3.02	AT	REXS
