Year	iYear	iGDP	iK	iL	iQ	iX	iU	Country	Source
1994	3	1.4724	1.4015	1.0501	1.1709	1.1752	NA	CN	Econ2011
1995	4	1.6329	1.5763	1.0615	1.2034	1.2048	NA	CN	Econ2011
1996	5	1.7962	1.7664	1.0727	1.2613	1.2662	NA	CN	Econ2011
1997	6	1.9633	1.9675	1.0838	1.3650	1.3779	NA	CN	Econ2011
1998	7	2.1164	2.1906	1.0944	1.4090	1.4227	NA	CN	Econ2011
1999	8	2.2772	2.4224	1.1039	1.3911	1.4019	NA	CN	Econ2011
2000	9	2.4685	2.6767	1.1277	1.4560	1.4682	NA	CN	Econ2011
2001	10	2.6734	2.9517	1.1206	1.5093	1.5245	NA	CN	Econ2011
2002	11	2.9167	3.2685	1.1431	1.6577	1.6827	NA	CN	Econ2011
2003	12	3.2084	3.6489	1.1654	1.8425	1.8787	NA	CN	Econ2011
2004	13	3.5324	4.0735	1.1563	2.0542	2.1052	NA	CN	Econ2011
2005	14	3.9316	4.5471	1.1782	2.3243	2.3936	NA	CN	Econ2011
2006	15	4.4309	5.0820	1.2000	2.5337	2.6149	NA	CN	Econ2011
2007	16	5.0601	5.6910	1.2063	2.7020	2.7938	NA	CN	Econ2011
2008	17	5.5458	6.3512	1.2108	2.8463	2.9463	NA	CN	Econ2011
2009	18	6.0561	7.2033	1.2168	3.2012	3.3267	NA	CN	Econ2011
2010	19	6.6845	8.1442	1.2380	3.4162	3.5519	NA	CN	Econ2011
2011	20	7.3013	9.1896	1.2439	3.6393	3.7902	NA	CN	Econ2011
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	ZA	Econ2011
1992	1	0.9786	1.0012	1.0211	1.0229	1.0232	NA	ZA	Econ2011
1993	2	0.9907	1.0019	1.0597	1.0229	1.0228	NA	ZA	Econ2011
1994	3	1.0227	1.0084	1.1704	1.1108	1.1102	NA	ZA	Econ2011
1995	4	1.0546	1.0227	1.2757	1.1284	1.1269	NA	ZA	Econ2011
1996	5	1.1000	1.0436	1.2423	1.1432	1.1420	NA	ZA	Econ2011
1997	6	1.1291	1.0683	1.2909	1.2324	1.2320	NA	ZA	Econ2011
1998	7	1.1350	1.0960	1.2885	1.1768	1.1750	NA	ZA	Econ2011
1999	8	1.1617	1.1139	1.3403	1.2244	1.2233	NA	ZA	Econ2011
2000	9	1.2100	1.1343	1.3387	1.2569	1.2559	NA	ZA	Econ2011
2001	10	1.2431	1.1560	1.3506	1.2725	1.2719	NA	ZA	Econ2011
2002	11	1.2887	1.1798	1.3694	1.2460	1.2443	NA	ZA	Econ2011
2003	12	1.3267	1.2126	1.4076	1.3361	1.3356	NA	ZA	Econ2011
2004	13	1.3871	1.2579	1.5013	1.4173	1.4166	NA	ZA	Econ2011
2005	14	1.4603	1.3144	1.5185	1.4002	1.3992	NA	ZA	Econ2011
2006	15	1.5422	1.3845	1.5982	1.4396	1.4376	NA	ZA	Econ2011
2007	16	1.6268	1.4726	1.6966	1.4708	1.4682	NA	ZA	Econ2011
2008	17	1.6866	1.5763	1.7563	1.5389	1.5370	NA	ZA	Econ2011
2009	18	1.6613	1.6803	1.7172	1.5140	1.5122	NA	ZA	Econ2011
2010	19	1.7095	1.7923	1.6557	1.5140	1.5125	NA	ZA	Econ2011
2011	20	1.7625	1.9066	1.6754	1.5040	1.5035	NA	ZA	Econ2011
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	SA	Econ2011
1992	1	1.0463	1.0599	1.0492	1.0553	1.0553	NA	SA	Econ2011
1993	2	1.0466	1.1165	1.0792	1.0985	1.0983	NA	SA	Econ2011
1994	3	1.0535	1.1703	1.1059	1.1318	1.1314	NA	SA	Econ2011
1995	4	1.0556	1.2188	1.1257	1.1169	1.1160	NA	SA	Econ2011
1996	5	1.0914	1.2543	1.1208	1.1948	1.1940	NA	SA	Econ2011
1997	6	1.1197	1.2888	1.0884	1.2648	1.2639	NA	SA	Econ2011
1998	7	1.1514	1.3289	1.0968	1.3121	1.3114	NA	SA	Econ2011
1999	8	1.1428	1.3774	1.1337	1.3294	1.3289	NA	SA	Econ2011
2000	9	1.1984	1.4293	1.1607	1.3994	1.3986	NA	SA	Econ2011
2001	10	1.2049	1.4799	1.2172	1.4787	1.4777	NA	SA	Econ2011
2002	11	1.2065	1.5290	1.2836	1.5499	1.5486	NA	SA	Econ2011
2003	12	1.2989	1.6000	1.4080	1.6416	1.6399	NA	SA	Econ2011
2004	13	1.3673	1.6705	1.5176	1.7623	1.7600	NA	SA	Econ2011
2005	14	1.4432	1.7699	1.5717	1.8459	1.8435	NA	SA	Econ2011
2006	15	1.4888	1.8990	1.6458	1.9010	1.8981	NA	SA	Econ2011
2007	16	1.5188	2.0655	1.7179	1.9832	1.9809	NA	SA	Econ2011
2008	17	1.5830	2.2830	1.7884	1.9464	1.9413	NA	SA	Econ2011
2009	18	1.5856	2.4183	1.7941	2.0521	2.0491	NA	SA	Econ2011
2010	19	1.6590	2.5547	1.8635	2.2451	2.2418	NA	SA	Econ2011
2011	20	1.7712	2.6944	1.9472	2.7158	2.7158	NA	SA	Econ2011
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	IR	Econ2011
1992	1	1.0425	1.0287	0.9923	1.0351	1.0351	NA	IR	Econ2011
1993	2	1.0261	1.0452	1.0258	1.0666	1.0665	NA	IR	Econ2011
1994	3	1.0225	1.0479	1.0326	1.1370	1.1372	NA	IR	Econ2011
1995	4	1.0496	1.0471	1.0677	1.1797	1.1791	NA	IR	Econ2011
1996	5	1.1241	1.0644	1.0762	1.2218	1.2204	NA	IR	Econ2011
1997	6	1.1622	1.0918	1.1451	1.3652	1.3641	NA	IR	Econ2011
1998	7	1.1940	1.1206	1.2058	1.4157	1.4133	NA	IR	Econ2011
1999	8	1.2171	1.1536	1.2475	1.4931	1.4897	NA	IR	Econ2011
2000	9	1.2797	1.1887	1.3428	1.5534	1.5490	NA	IR	Econ2011
2001	10	1.3267	1.2379	1.4047	1.6601	1.6547	NA	IR	Econ2011
2002	11	1.4264	1.2995	1.4662	1.8141	1.8079	NA	IR	Econ2011
2003	12	1.5279	1.3728	1.5670	1.9104	1.9034	NA	IR	Econ2011
2004	13	1.6056	1.4524	1.7123	1.9854	1.9772	NA	IR	Econ2011
2005	14	1.6798	1.5353	1.7569	2.2660	2.2564	NA	IR	Econ2011
2006	15	1.7788	1.6185	1.7594	2.3692	2.3604	NA	IR	Econ2011
2007	16	1.9180	1.7074	1.8045	2.4265	2.4171	NA	IR	Econ2011
2008	17	1.9621	1.8002	1.7369	2.5111	2.5052	NA	IR	Econ2011
2009	18	1.9974	1.8939	1.7804	2.7750	2.7667	NA	IR	Econ2011
2010	19	2.0555	1.9876	1.8470	2.7955	2.7853	NA	IR	Econ2011
2011	20	2.0971	2.0861	1.8676	3.0885	3.0823	NA	IR	Econ2011
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	TZ	Econ2011
1992	1	1.0059	1.0783	1.0211	1.0314	1.0341	NA	TZ	Econ2011
1993	2	1.0180	1.1342	1.0556	1.0577	1.0675	NA	TZ	Econ2011
1994	3	1.0340	1.1878	1.1100	1.0431	1.0413	NA	TZ	Econ2011
1995	4	1.0708	1.2178	1.1436	1.0444	1.0462	NA	TZ	Econ2011
1996	5	1.1196	1.2428	1.1756	1.0697	1.0691	NA	TZ	Econ2011
1997	6	1.1590	1.2664	1.2065	1.0568	1.0498	NA	TZ	Econ2011
1998	7	1.2020	1.3040	1.2211	1.1030	1.0965	NA	TZ	Econ2011
1999	8	1.2603	1.3468	1.2516	1.1299	1.1219	NA	TZ	Econ2011
2000	9	1.3224	1.3944	1.2833	1.1389	1.1247	NA	TZ	Econ2011
2001	10	1.4017	1.4558	1.3164	1.2149	1.2056	NA	TZ	Econ2011
2002	11	1.5021	1.5255	1.3685	1.2698	1.2600	NA	TZ	Econ2011
2003	12	1.6055	1.6143	1.4230	1.2966	1.2763	NA	TZ	Econ2011
2004	13	1.7312	1.7172	1.4616	1.3428	1.3236	NA	TZ	Econ2011
2005	14	1.8588	1.8532	1.5020	1.4097	1.3953	NA	TZ	Econ2011
2006	15	1.9841	2.0209	1.5443	1.4466	1.4255	NA	TZ	Econ2011
2007	16	2.1259	2.2198	1.5885	1.5587	1.5434	NA	TZ	Econ2011
2008	17	2.2840	2.4314	1.6349	1.6202	1.6059	NA	TZ	Econ2011
2009	18	2.4215	2.6653	1.6836	1.6779	1.6639	NA	TZ	Econ2011
2010	19	2.5907	2.9149	1.7345	1.6714	1.6459	NA	TZ	Econ2011
2011	20	2.7564	3.1830	1.7878	1.8554	1.8506	NA	TZ	Econ2011
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	ZM	Econ2011
1992	1	0.9827	0.9692	1.0254	1.0366	1.0393	NA	ZM	Econ2011
1993	2	1.0494	0.9566	1.0539	0.9956	0.9944	NA	ZM	Econ2011
1994	3	0.9589	0.9314	1.0974	0.9691	0.9636	NA	ZM	Econ2011
1995	4	0.9318	0.9180	1.1260	0.9834	0.9779	NA	ZM	Econ2011
1996	5	0.9966	0.9155	1.2100	0.9592	0.9518	NA	ZM	Econ2011
1997	6	1.0294	0.9291	1.2621	1.0251	1.0170	NA	ZM	Econ2011
1998	7	1.0104	0.9650	1.3351	0.9970	0.9864	NA	ZM	Econ2011
1999	8	1.0328	1.0201	1.3521	0.9934	0.9808	NA	ZM	Econ2011
2000	9	1.0697	1.0181	1.3869	0.9935	0.9808	NA	ZM	Econ2011
2001	10	1.1221	1.0260	1.3801	1.0283	1.0176	NA	ZM	Econ2011
2002	11	1.1592	1.0379	1.4070	1.0456	1.0348	NA	ZM	Econ2011
2003	12	1.2183	1.0541	1.4183	1.0728	1.0629	NA	ZM	Econ2011
2004	13	1.2839	1.0659	1.4513	1.0811	1.0704	NA	ZM	Econ2011
2005	14	1.3525	1.0819	1.4644	1.1288	1.1194	NA	ZM	Econ2011
2006	15	1.4365	1.1066	1.5012	1.1856	1.1747	NA	ZM	Econ2011
2007	16	1.5256	1.1382	1.5402	1.1828	1.1704	NA	ZM	Econ2011
2008	17	1.6123	1.1745	1.5816	1.1343	1.1173	NA	ZM	Econ2011
2009	18	1.7155	1.2152	1.6256	1.1964	1.1793	NA	ZM	Econ2011
2010	19	1.8461	1.2668	1.6515	1.2797	1.2638	NA	ZM	Econ2011
2011	20	1.9716	1.3440	1.7216	1.3480	1.3339	NA	ZM	Econ2011
